# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  142       5.532369075871e-10       1.502796022926e-13      -6.065448278401e-12       0.000000000000e+00       3.905293147660e-12       6.683323691486e-13      -4.426026929873e-15 
  143       5.578208919056e-10       1.501085188808e-13      -6.094604715273e-12       0.000000000000e+00       3.828451682033e-12       6.582299862889e-13      -4.360312639137e-15 
  144       5.623886030473e-10       1.498719301377e-13      -6.120895923644e-12       0.000000000000e+00       3.753321687103e-12       6.483414118169e-13      -4.295438737813e-15 
  145       5.669389126411e-10       1.495703515152e-13      -6.144269111984e-12       0.000000000000e+00       3.679883140736e-12       6.386646215864e-13      -4.231386657101e-15 
  146       5.714707885628e-10       1.492044048401e-13      -6.164673291718e-12       0.000000000000e+00       3.608143224049e-12       6.291989734200e-13      -4.168122665385e-15 
  147       5.759831620155e-10       1.487748077575e-13      -6.182058792789e-12       0.000000000000e+00       3.538103215512e-12       6.199429372151e-13      -4.105606542000e-15 
  148       5.804749267290e-10       1.482823755015e-13      -6.196377304140e-12       0.000000000000e+00       3.469758343386e-12       6.108940733043e-13      -4.043791429328e-15 
  149       5.849449381609e-10       1.477280226668e-13      -6.207581914186e-12       0.000000000000e+00       3.403097638156e-12       6.020490108163e-13      -3.982623684897e-15 
  150       5.893920126964e-10       1.471127649794e-13      -6.215627151285e-12       0.000000000000e+00       3.338103784974e-12       5.934034260365e-13      -3.922042733485e-15 
  151       5.938149268490e-10       1.464377210677e-13      -6.220469024221e-12       0.000000000000e+00       3.274752976090e-12       5.849520207678e-13      -3.861980919216e-15 
  152       5.982124164607e-10       1.457041142339e-13      -6.222065062674e-12       0.000000000000e+00       3.213014763291e-12       5.766885006914e-13      -3.802363357660e-15 
  153       6.025831759023e-10       1.449132742244e-13      -6.220374357695e-12       0.000000000000e+00       3.152851910341e-12       5.686055537276e-13      -3.743107787938e-15 
  154       6.069258572740e-10       1.440666390019e-13      -6.215357602183e-12       0.000000000000e+00       3.094220245412e-12       5.606948283959e-13      -3.684124424813e-15 
  155       6.112390696054e-10       1.431657565154e-13      -6.206977131361e-12       0.000000000000e+00       3.037068513528e-12       5.529469121767e-13      -3.625315810797e-15 
  156       6.155213780561e-10       1.422122864720e-13      -6.195196963247e-12       0.000000000000e+00       2.981338228993e-12       5.453513098711e-13      -3.566576668248e-15 
  157       6.197713031158e-10       1.412080021078e-13      -6.179982839134e-12       0.000000000000e+00       2.926963527838e-12       5.378964219625e-13      -3.507793751471e-15 
  158       6.239873198051e-10       1.401547919589e-13      -6.161302264063e-12       0.000000000000e+00       2.873871020248e-12       5.305695229763e-13      -3.448845698815e-15 
  159       6.281678568752e-10       1.390546616324e-13      -6.139124547294e-12       0.000000000000e+00       2.821979643008e-12       5.233567398417e-13      -3.389602884777e-15 
  160       6.323112960089e-10       1.379097355777e-13      -6.113420842791e-12       0.000000000000e+00       2.771200511934e-12       5.162430302515e-13      -3.329927272099e-15 
  161       6.364160817992e-10       1.367222104073e-13      -6.084164053317e-12       0.000000000000e+00       2.721455133518e-12       5.092154915085e-13      -3.269707432522e-15 
  162       6.404810642952e-10       1.354942065025e-13      -6.051328448255e-12       0.000000000000e+00       2.672732159508e-12       5.022736613206e-13      -3.208967399865e-15 
