# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.046288764075e-02       2.451556795334e+04 
       2.059420672820e-02       2.447640397883e+04 
       2.072559979469e-02       2.443522043724e+04 
       2.085706825720e-02       2.439432270950e+04 
       2.098861356758e-02       2.435297772404e+04 
       2.112023721333e-02       2.430923178417e+04 
       2.125194071838e-02       2.426510581070e+04 
       2.138372564387e-02       2.422028748065e+04 
       2.151559358898e-02       2.417453630090e+04 
       2.164754619176e-02       2.412802259820e+04 
       2.177958513006e-02       2.408060723249e+04 
       2.191171212238e-02       2.403232461839e+04 
       2.204392892881e-02       2.398314181298e+04 
       2.217623735203e-02       2.393311039638e+04 
       2.230863923826e-02       2.388248309867e+04 
       2.244113647830e-02       2.383092122590e+04 
       2.257373100860e-02       2.377856010009e+04 
       2.270642481231e-02       2.372562709699e+04 
       2.283921992043e-02       2.367232009821e+04 
       2.297211841295e-02       2.361742165820e+04 
       2.310512242009e-02       2.356296181009e+04 
       2.323823412345e-02       2.350636790894e+04 
       2.337145575734e-02       2.344984072542e+04 
       2.350478961009e-02       2.339256317643e+04 
       2.363823802536e-02       2.333493365614e+04 
       2.377180340358e-02       2.327644010828e+04 
       2.390548820335e-02       2.321725845115e+04 
       2.403929494296e-02       2.315764627211e+04 
       2.417322620187e-02       2.309724288348e+04 
       2.430728462237e-02       2.303720268234e+04 
       2.444147291114e-02       2.297515790180e+04 
       2.457579384096e-02       2.291308991100e+04 
       2.471025025247e-02       2.285136332365e+04 
       2.484484505593e-02       2.278767386884e+04 
       2.497958123313e-02       2.272430322433e+04 
       2.511446183924e-02       2.266002093755e+04 
       2.524949000485e-02       2.259552965178e+04 
       2.538466893798e-02       2.253066639167e+04 
       2.552000192623e-02       2.246529298520e+04 
       2.565549233892e-02       2.239940658818e+04 
       2.579114362942e-02       2.233318144943e+04 
       2.592695933743e-02       2.226650246958e+04 
       2.606294309141e-02       2.219926695878e+04 
       2.619909861112e-02       2.213224338713e+04 
       2.633542971018e-02       2.206378435560e+04 
       2.647194029876e-02       2.199544145544e+04 
       2.660863438634e-02       2.192684971546e+04 
       2.674551608462e-02       2.185778576518e+04 
       2.688258961046e-02       2.178887996096e+04 
       2.701985928899e-02       2.171878514858e+04 
       2.715732955678e-02       2.164917440726e+04 
       2.729500496519e-02       2.157884334354e+04 
       2.743289018375e-02       2.150795863784e+04 
       2.757099000378e-02       2.143695341559e+04 
       2.770930934203e-02       2.136577724699e+04 
       2.784785324453e-02       2.129458346579e+04 
       2.798662689059e-02       2.122268675599e+04 
       2.812563559686e-02       2.115066262043e+04 
       2.826488482170e-02       2.107847787310e+04 
       2.840438016955e-02       2.100597957093e+04 
       2.854412739561e-02       2.093336175169e+04 
       2.868413241059e-02       2.086058185294e+04 
       2.882440128574e-02       2.078742235700e+04 
       2.896494025805e-02       2.071445891055e+04 
       2.910575573559e-02       2.064071971010e+04 
       2.924685430320e-02       2.056707034316e+04 
       2.938824272826e-02       2.049365612009e+04 
       2.952992796684e-02       2.041926828102e+04 
       2.967191717002e-02       2.034558307663e+04 
       2.981421769045e-02       2.027081924786e+04 
       2.995683708927e-02       2.019643442018e+04 
       3.009978314329e-02       2.012182993620e+04 
       3.024306385244e-02       2.004727965805e+04 
       3.038668744756e-02       1.997278340566e+04 
       3.053066239858e-02       1.989749291262e+04 
       3.067499742301e-02       1.982248595730e+04 
       3.081970149478e-02       1.974740852501e+04 
       3.096478385354e-02       1.967220025383e+04 
       3.111025401436e-02       1.959688850552e+04 
       3.125612177782e-02       1.952152966690e+04 
       3.140239724066e-02       1.944637269982e+04 
       3.154909080681e-02       1.937078246185e+04 
       3.169621319907e-02       1.929503192557e+04 
       3.184377547117e-02       1.921940496948e+04 
       3.199178902060e-02       1.914392320180e+04 
       3.214026560188e-02       1.906804379458e+04 
       3.228921734063e-02       1.899229426533e+04 
       3.243865674817e-02       1.891655753963e+04 
       3.258859673702e-02       1.884088602526e+04 
       3.273905063701e-02       1.876487582210e+04 
       3.289003221233e-02       1.868891590099e+04 
       3.304155567938e-02       1.861302297440e+04 
       3.319363572557e-02       1.853738065914e+04 
       3.334628752909e-02       1.846144619282e+04 
       3.349952677970e-02       1.838545110140e+04 
       3.365336970071e-02       1.830935324520e+04 
       3.380783307202e-02       1.823344914488e+04 
       3.396293425452e-02       1.815778949815e+04 
       3.411869121576e-02       1.808193638580e+04 
       3.427512255711e-02       1.800595103538e+04 
       3.443224754235e-02       1.792999374448e+04 
       3.459008612799e-02       1.785433865530e+04 
       3.474865899530e-02       1.777827949989e+04 
       3.490798758412e-02       1.770242166844e+04 
       3.506809412879e-02       1.762681711596e+04 
       3.522900169613e-02       1.755109917477e+04 
       3.539073422568e-02       1.747533428676e+04 
       3.555331657252e-02       1.739962760366e+04 
       3.571677455255e-02       1.732395125976e+04 
       3.588113499075e-02       1.724830358967e+04 
       3.604642577239e-02       1.717274920056e+04 
       3.621267589753e-02       1.709721397207e+04 
       3.637991553909e-02       1.702178358268e+04 
       3.654817610468e-02       1.694618386268e+04 
       3.671749030252e-02       1.687105389049e+04 
       3.688789221183e-02       1.679550090151e+04 
       3.705941735803e-02       1.672005549706e+04 
       3.723210279303e-02       1.664476469549e+04 
       3.740598718128e-02       1.656942147368e+04 
       3.758111089180e-02       1.649412094986e+04 
       3.775751609685e-02       1.641904863861e+04 
       3.793524687789e-02       1.634398561630e+04 
       3.811434933917e-02       1.626866057070e+04 
       3.829487173010e-02       1.619358843320e+04 
       3.847686457664e-02       1.611850053301e+04 
       3.866038082311e-02       1.604336033619e+04 
       3.884547598486e-02       1.596816355458e+04 
       3.903220831329e-02       1.589331621274e+04 
       3.922063897405e-02       1.581820428969e+04 
       3.941083223992e-02       1.574326032737e+04 
       3.960285569973e-02       1.566815526333e+04 
       3.979678048502e-02       1.559315845607e+04 
       3.999268151608e-02       1.551845478293e+04 
       4.019063776965e-02       1.544329043939e+04 
       4.039073257029e-02       1.536837270511e+04 
       4.059305390817e-02       1.529337798974e+04 
       4.079769478607e-02       1.521797988631e+04 
       4.100475359884e-02       1.514313103317e+04 
       4.121433454906e-02       1.506813937561e+04 
       4.142654810291e-02       1.499278997412e+04 
       4.164151149122e-02       1.491750192042e+04 
       4.185934926079e-02       1.484238090549e+04 
       4.208019388236e-02       1.476706199370e+04 
       4.230418642205e-02       1.469155009432e+04 
       4.253147728441e-02       1.461601086455e+04 
       4.276222703627e-02       1.454053631060e+04 
       4.299660732195e-02       1.446458967359e+04 
       4.323480188214e-02       1.438894224033e+04 
       4.347700769062e-02       1.431273223002e+04 
       4.372343622522e-02       1.423657844477e+04 
       4.397431489222e-02       1.416025990602e+04 
       4.422988862659e-02       1.408369956687e+04 
       4.449042169413e-02       1.400692832613e+04 
       4.475619972638e-02       1.393015075177e+04 
       4.502753202449e-02       1.385274648180e+04 
       4.530475417505e-02       1.377527148421e+04 
       4.558823102848e-02       1.369755699075e+04 
       4.587836010100e-02       1.361959598731e+04 
       4.617557547222e-02       1.354100134729e+04 
       4.648035226563e-02       1.346220992574e+04 
       4.679321181660e-02       1.338300476939e+04 
       4.711472765467e-02       1.330315512435e+04 
       4.744553245416e-02       1.322263749273e+04 
       4.778632614094e-02       1.314219345461e+04 
       4.813788538553e-02       1.306082413920e+04 
       4.850107476571e-02       1.297859976952e+04 
       4.887685994888e-02       1.289551884214e+04 
       4.926632332852e-02       1.281185468572e+04 
       4.967068265651e-02       1.272741173873e+04 
       5.009131334911e-02       1.264191013131e+04 
       5.052977531794e-02       1.255532946970e+04 
       5.098784539853e-02       1.246746784543e+04 
       5.146755673066e-02       1.237854325873e+04 
       5.197124680201e-02       1.228826745883e+04 
       5.250161631623e-02       1.219602041308e+04 
       5.306180160355e-02       1.210205101242e+04 
       5.365546396471e-02       1.200584154411e+04 
       5.428690011210e-02       1.190685754407e+04 
       5.496117867942e-02       1.180501238542e+04 
       5.568430843301e-02       1.169977121467e+04 
       5.646344392505e-02       1.159045439198e+04 
       5.730713301712e-02       1.147627080498e+04 
       5.822560625510e-02       1.135619510668e+04 
       5.923109724979e-02       1.122879161407e+04 
       6.033816028631e-02       1.109122992980e+04 
       6.156390727847e-02       1.094282052608e+04 
       6.292800945061e-02       1.077866632567e+04 
       6.445219382413e-02       1.059446963468e+04 
       6.615883570765e-02       1.038500047369e+04 
       6.806821485010e-02       1.014352789935e+04 
       7.019430761689e-02       9.861749841260e+03 
       7.253989760665e-02       9.534264356826e+03 
       7.509309020806e-02       9.157735192215e+03 
       7.782776211507e-02       8.734872943795e+03 
       8.070867058818e-02       8.275401843852e+03 
       8.369884961233e-02       7.795277094555e+03 
       8.676568551487e-02       7.312711249455e+03 
       8.988376956840e-02       6.846617387704e+03 
       9.303496327114e-02       6.412829052980e+03 
       9.620706232890e-02       6.022857724289e+03 
       9.939216718054e-02       5.683437708478e+03 
       1.025852892689e-01       5.396360052710e+03 
       1.057833265459e-01       5.159302734730e+03 
       1.089843682842e-01       4.966667414702e+03 
       1.121872443109e-01       4.810140183947e+03 
       1.153912404194e-01       4.680686194482e+03 
       1.185959215265e-01       4.568212403764e+03 
       1.218010228240e-01       4.463087961333e+03 
       1.250063831652e-01       4.357167656347e+03 
       1.282119044384e-01       4.243727559468e+03 
       1.314175268407e-01       4.118491115307e+03 
       1.346232138469e-01       3.980346317936e+03 
       1.378289430794e-01       3.830044327281e+03 
       1.410347007634e-01       3.670219090504e+03 
       1.442404783600e-01       3.505330197075e+03 
       1.474462705223e-01       3.340222384272e+03 
       1.506520738527e-01       3.180145509152e+03 
       1.538578861492e-01       3.029431903930e+03 
       1.570637059458e-01       2.891524907115e+03 
       1.602695322328e-01       2.768725008826e+03 
       1.634753642870e-01       2.661954444790e+03 
       1.666812015668e-01       2.570999141617e+03 
       1.698870436485e-01       2.494396462155e+03 
       1.730928901867e-01       2.430221932237e+03 
       1.762987408898e-01       2.375602668903e+03 
       1.795045955044e-01       2.327467291385e+03 
       1.827104538059e-01       2.283147130934e+03 
       1.859163155913e-01       2.240092104373e+03 
       1.891221806758e-01       2.195401836509e+03 
       1.923280488890e-01       2.147525079180e+03 
       1.955339200736e-01       2.095193448157e+03 
       1.987397940831e-01       2.038337572096e+03 
       2.019456707812e-01       1.977533333681e+03 
       2.051515500402e-01       1.913902400665e+03 
       2.083574317407e-01       1.849119131844e+03 
       2.115633157707e-01       1.784738171308e+03 
       2.147692020251e-01       1.722332686164e+03 
       2.179750904048e-01       1.663158645241e+03 
       2.211809808167e-01       1.608045409514e+03 
       2.243868731732e-01       1.557867566446e+03 
       2.275927673914e-01       1.512674073029e+03 
       2.307986633932e-01       1.472639881123e+03 
       2.340045611048e-01       1.437280785835e+03 
       2.372104604564e-01       1.406071909024e+03 
       2.404163613820e-01       1.378222910458e+03 
       2.436222638190e-01       1.352609359067e+03 
       2.468281677081e-01       1.328366986786e+03 
       2.500340729932e-01       1.304637281465e+03 
       2.532399796209e-01       1.280620729202e+03 
       2.564458875405e-01       1.255828835660e+03 
       2.596517967039e-01       1.229992845326e+03 
       2.628577070652e-01       1.202962724198e+03 
       2.660636185810e-01       1.174903922497e+03 
       2.692695312098e-01       1.146055472959e+03 
       2.724754449119e-01       1.116835804676e+03 
       2.756813596499e-01       1.087652956612e+03 
       2.788872753877e-01       1.058985740087e+03 
       2.820931920910e-01       1.031427111290e+03 
       2.852991097272e-01       1.005292053184e+03 
       2.885050282649e-01       9.808112907850e+02 
       2.917109476744e-01       9.581762580620e+02 
       2.949168679269e-01       9.373433897226e+02 
       2.981227889952e-01       9.182181576096e+02 
       3.013287108530e-01       9.005419980449e+02 
       3.045346334754e-01       8.840829368766e+02 
       3.077405568383e-01       8.685858416746e+02 
       3.109464809186e-01       8.537706863549e+02 
       3.141524056943e-01       8.392754626366e+02 
       3.173583311443e-01       8.249665525695e+02 
       3.205642572481e-01       8.106422683088e+02 
       3.237701839863e-01       7.960566076139e+02 
       3.269761113401e-01       7.812896274794e+02 
       3.301820392915e-01       7.662373495672e+02 
       3.333879678232e-01       7.510682606859e+02 
       3.365938969185e-01       7.358753071171e+02 
       3.397998265614e-01       7.208423631078e+02 
       3.430057567365e-01       7.060043365621e+02 
       3.462116874289e-01       6.915833854131e+02 
       3.494176186242e-01       6.776630887290e+02 
       3.526235503088e-01       6.643187935172e+02 
       3.558294824694e-01       6.516077049826e+02 
       3.590354150931e-01       6.395425547754e+02 
       3.622413481676e-01       6.281306797065e+02 
       3.654472816809e-01       6.173223652519e+02 
       3.686532156216e-01       6.070646098041e+02 
       3.718591499786e-01       5.972200556928e+02 
       3.750650847412e-01       5.877256992954e+02 
       3.782710198989e-01       5.784186122137e+02 
       3.814769554418e-01       5.693108845608e+02 
       3.846828913603e-01       5.602618311375e+02 
       3.878888276449e-01       5.513010291962e+02 
       3.910947642867e-01       5.423773698662e+02 
       3.943007012768e-01       5.334834577184e+02 
       3.975066386068e-01       5.246381595533e+02 
       4.007125762686e-01       5.158317306478e+02 
       4.039185142542e-01       5.071218175702e+02 
