# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   56       2.078850042815e-10       2.287596603903e-14      -1.021966798734e-13       1.274045723011e-16       4.139658649427e-11       4.604279316997e-12      -9.392509348063e-15 
   57       2.107657319980e-10       2.415494084740e-14      -1.381060778321e-13       1.320162997685e-16       3.978275158025e-11       4.440227781085e-12      -9.771141805898e-15 
   58       2.136773182002e-10       2.547328643288e-14      -1.758382597866e-13       1.367100999722e-16       3.825627119559e-11       4.285115659587e-12      -1.016652903000e-14 
   59       2.166184213197e-10       2.683093335362e-14      -2.153908037183e-13       1.414858648466e-16       3.681059501490e-11       4.138412773301e-12      -1.054222035996e-14 
   60       2.195863272379e-10       2.822776672506e-14      -2.567583340626e-13       1.463434783517e-16       3.543611648419e-11       3.999291686276e-12      -1.085672957634e-14 
   61       2.225782094774e-10       2.966354773026e-14      -2.999329057553e-13       1.512828319596e-16       3.412284185913e-11       3.866858129177e-12      -1.107300707754e-14 
   62       2.255954422440e-10       3.113765940681e-14      -3.449053685610e-13       1.563038752388e-16       3.286947751473e-11       3.740940349599e-12      -1.118981817052e-14 
   63       2.286401015124e-10       3.264930209341e-14      -3.916642229525e-13       1.614065766238e-16       3.167609350181e-11       3.621448220846e-12      -1.121706567478e-14 
   64       2.317136554872e-10       3.419756285509e-14      -4.401951790073e-13       1.665909093567e-16       3.054139001514e-11       3.508133189401e-12      -1.116682266122e-14 
   65       2.348169181630e-10       3.578141220381e-14      -4.904811208899e-13       1.718568519500e-16       2.946261938766e-11       3.400579475469e-12      -1.105342873038e-14 
   66       2.379500028861e-10       3.739970081902e-14      -5.425020713342e-13       1.772043886498e-16       2.843550808469e-11       3.298195273523e-12      -1.089358629074e-14 
   67       2.411122759145e-10       3.905115626827e-14      -5.962351561260e-13       1.826335098996e-16       2.745417869808e-11       3.200203952850e-12      -1.070645683692e-14 
   68       2.443029640640e-10       4.073451452022e-14      -6.516561642982e-13       1.881442209513e-16       2.651272032875e-11       3.105843304420e-12      -1.051008024204e-14 
   69       2.475232244250e-10       4.244895275840e-14      -7.087446752128e-13       1.937365686921e-16       2.561044360182e-11       3.015029832485e-12      -1.030957490506e-14 
   70       2.507744125264e-10       4.419373877855e-14      -7.674799113288e-13       1.994106211108e-16       2.474755521525e-11       2.927813876679e-12      -1.010670861546e-14 
   71       2.540574361789e-10       4.596810412080e-14      -8.278392396078e-13       2.051664602897e-16       2.392356856012e-11       2.844180059089e-12      -9.903366185666e-15 
   72       2.573727257648e-10       4.777124423761e-14      -8.897981768073e-13       2.110041830762e-16       2.313726787311e-11       2.764043805684e-12      -9.701551688740e-15 
   73       2.607202045272e-10       4.960231866170e-14      -9.533303947748e-13       2.169239017545e-16       2.238667238893e-11       2.687247867732e-12      -9.503390696051e-15 
   74       2.640992588592e-10       5.146045117405e-14      -1.018407725740e-12       2.229257447171e-16       2.166900049279e-11       2.613558843229e-12      -9.311132514982e-15 
   75       2.675087085935e-10       5.334472997186e-14      -1.085000167611e-12       2.290098571366e-16       2.098063387287e-11       2.542663698321e-12      -9.127152426630e-15 
   76       2.709473928325e-10       5.525414423463e-14      -1.153075490549e-12       2.351763943729e-16       2.031801599637e-11       2.474252225066e-12      -8.953640887113e-15 
   77       2.744161164493e-10       5.718738009669e-14      -1.222597962175e-12       2.414254993224e-16       1.968061593238e-11       2.408289463739e-12      -8.791600753717e-15 
   78       2.779160062113e-10       5.914298760159e-14      -1.293529398440e-12       2.477573221397e-16       1.906844237971e-11       2.344786868978e-12      -8.641670413973e-15 
